provinz	provinz_lower	name
İSTANBUL	istanbul	Istanbul
ANKARA	ankara	Ankara
İZMİR	izmir	Izmir
ADANA	adana	Adana
ADIYAMAN	adiyaman	Adiyaman
AFYONKARAHİSAR	afyonkarahisar	Afyonkarahisar
AĞRI	ağri	Agri
AKSARAY	aksaray	Aksaray
AMASYA	amasya	Amasya
ANTALYA	antalya	Antalya
ARDAHAN	ardahan	Ardahan
ARTVİN	artvin	Artvin
AYDIN	aydin	Aydin
BALIKESİR	balikesir	Balikesir
BARTIN	bartin	Bartın
BATMAN	batman	Batman
BAYBURT	bayburt	Bayburt
BİLECİK	bilecik	Bilecik
BİNGÖL	bingöl	Bingöl
BİTLİS	bitlis	Bitlis
BOLU	bolu	Bolu
BURDUR	burdur	Burdur
BURSA	bursa	Bursa
ÇANAKKALE	çanakkale	Çanakkale
ÇANKIRI	çankiri	Çankiri
ÇORUM	çorum	Çorum
DENİZLİ	denizli	Denizli
DİYARBAKIR	diyarbakir	Diyarbakir
DÜZCE	düzce	Düzce
EDİRNE	edirne	Edirne
ELAZIĞ	elaziğ	Elazig
ERZİNCAN	erzincan	Erzincan
ERZURUM	erzurum	Erzurum
ESKİŞEHİR	eskişehir	Eskisehir
GAZİANTEP	gaziantep	Gaziantep
GİRESUN	giresun	Giresun
GÜMÜŞHANE	gümüşhane	Gümüshane
HAKKARİ	hakkari	Hakkari
HATAY	hatay	Hatay
IĞDIR	iğdir	Iğdir
ISPARTA	isparta	Isparta
KAHRAMANMARAŞ	kahramanmaraş	NA
KARABÜK	karabük	Karabük
KARAMAN	karaman	Karaman
KARS	kars	Kars
KASTAMONU	kastamonu	Kastamonu
KAYSERİ	kayseri	Kayseri
KIRIKKALE	kirikkale	NA
KIRKLARELİ	kirklareli	Kirklareli
KIRŞEHİR	kirşehir	Kirsehir
KİLİS	kilis	Kilis
KOCAELİ	kocaeli	Kocaeli
KONYA	konya	Konya
KÜTAHYA	kütahya	NA
MALATYA	malatya	Malatya
MANİSA	manisa	Manisa
MARDİN	mardin	Mardin
MERSİN	mersin	Mersin
MUĞLA	muğla	Mugla
MUŞ	muş	Mus
NEVŞEHİR	nevşehir	Nevsehir
NİĞDE	niğde	Nigde
ORDU	ordu	Ordu
OSMANİYE	osmaniye	Osmaniye
RİZE	rize	Rize
SAKARYA	sakarya	Sakarya
SAMSUN	samsun	Samsun
SİİRT	siirt	Siirt
SİNOP	sinop	Sinop
SİVAS	sivas	Sivas
ŞANLIURFA	şanliurfa	Sanliurfa
ŞIRNAK	şirnak	Sirnak
TEKİRDAĞ	tekirdağ	Tekirdag
TOKAT	tokat	Tokat
TRABZON	trabzon	Trabzon
TUNCELİ	tunceli	Tunceli
UŞAK	uşak	Usak
VAN	van	Van
YALOVA	yalova	Yalova
YOZGAT	yozgat	Yozgat
ZONGULDAK	zonguldak	Zinguldak
