land	land_id	name	position	verein	verein_id	gebdatum	alter	marktwert	liga	marktwert_land
Albanien	3561	Etrit Berisha	Torwart	Lazio Rom	398	10.03.1989	27	4000000	Serie A	46125000
Albanien	3561	Alban Hoxha	Torwart	FK Partizani Tiranë	4040	23.11.1987	28	525000	NA	46125000
Albanien	3561	Orges Shehi	Torwart	KF Skënderbeu Korçë	12469	25.09.1977	38	150000	NA	46125000
Albanien	3561	Mergim Mavraj	Innenverteidiger	1.FC Köln	3	09.06.1986	29	1500000	1.Bundesliga	46125000
Albanien	3561	Amir Rrahmani	Innenverteidiger	RNK Split	420	24.02.1994	22	1000000	NA	46125000
Albanien	3561	Lorik Cana	Innenverteidiger	FC Nantes	995	27.07.1983	32	1000000	Ligue 1	46125000
Albanien	3561	Berat Djimsiti	Innenverteidiger	Atalanta Bergamo	800	19.02.1993	23	1000000	Serie A	46125000
Albanien	3561	Arlind Ajeti	Innenverteidiger	Frosinone Calcio	8970	25.09.1993	22	1000000	Serie A	46125000
Albanien	3561	Ermir Lenjani	Linker Verteidiger	FC Nantes	995	05.08.1989	26	1000000	Ligue 1	46125000
Albanien	3561	Naser Aliji	Linker Verteidiger	FC Basel 1893	26	27.12.1993	22	700000	Raiffeisen Super League	46125000
Albanien	3561	Ansi Agolli	Linker Verteidiger	Qarabag Agdam	10625	11.10.1982	33	300000	NA	46125000
Albanien	3561	Elseid Hysaj	Rechter Verteidiger	SSC Neapel	6195	02.02.1994	22	9000000	Serie A	46125000
Albanien	3561	Frédéric Veseli	Rechter Verteidiger	FC Lugano	2790	20.11.1992	23	800000	NA	46125000
Albanien	3561	Taulant Xhaka	Defensives Mittelfeld	FC Basel 1893	26	28.03.1991	25	4000000	Raiffeisen Super League	46125000
Albanien	3561	Ergys Kace	Defensives Mittelfeld	PAOK Thessaloniki	1091	08.07.1993	22	3000000	Super League	46125000
Albanien	3561	Amir Abrashi	Defensives Mittelfeld	SC Freiburg	60	27.03.1990	26	2250000	2.Bundesliga	46125000
Albanien	3561	Migjen Basha	Defensives Mittelfeld	Calcio Como	1047	05.01.1987	29	800000	NA	46125000
Albanien	3561	Andi Lila	Defensives Mittelfeld	PAS Giannina	2671	12.02.1986	30	700000	NA	46125000
Albanien	3561	Burim Kukeli	Defensives Mittelfeld	FC Zürich	260	16.01.1984	32	500000	Raiffeisen Super League	46125000
Albanien	3561	Ledian Memushaj	Zentrales Mittelfeld	Delfino Pescara 1936	2921	07.12.1986	29	1400000	Serie B	46125000
Albanien	3561	Herolind Shala	Offensives Mittelfeld	FC Slovan Liberec	697	01.02.1992	24	1250000	NA	46125000
Albanien	3561	Odise Roshi	Rechtsaußen	HNK Rijeka	144	22.05.1991	25	450000	1.HNL	46125000
Albanien	3561	Shkelzen Gashi	Linksaußen	Colorado Rapids	1247	15.07.1988	27	2750000	Major League Soccer	46125000
Albanien	3561	Milot Rashica	Rechtsaußen	Vitesse Arnheim	499	28.06.1996	19	2000000	Eredivisie	46125000
Albanien	3561	Sokol Cikalleshi	Mittelstürmer	Medipol Basaksehir	6890	27.07.1990	25	2300000	Süper Lig	46125000
